snapshot,region,carrier,p_nom
1/12/2018,서울,ocean,0
1/12/2018,서울,bio,6.865
1/12/2018,서울,waste,18.45
1/11/2018,서울,fuelcell,42
1/11/2018,서울,IGCC,0
1/11/2018,서울,solar,30.305671
1/11/2018,서울,wind,0
1/11/2018,서울,water,0.416
1/11/2018,서울,ocean,0
1/11/2018,서울,bio,6.865
1/11/2018,서울,waste,18.45
1/10/2018,서울,fuelcell,42
1/10/2018,서울,IGCC,0
1/10/2018,서울,solar,30.207751
1/10/2018,서울,wind,0
1/10/2018,서울,water,0.416
1/10/2018,서울,ocean,0
1/10/2018,서울,bio,6.865
1/10/2018,서울,waste,18.45
1/9/2018,서울,fuelcell,42
1/9/2018,서울,IGCC,0
1/9/2018,서울,solar,30.207751
1/9/2018,서울,wind,0
1/9/2018,서울,water,0.416
1/9/2018,서울,ocean,0
1/9/2018,서울,bio,6.865
1/9/2018,서울,waste,18.45
1/8/2018,서울,fuelcell,42
1/8/2018,서울,IGCC,0
1/8/2018,서울,solar,30.207751
1/8/2018,서울,wind,0
1/8/2018,서울,water,0.416
1/8/2018,서울,ocean,0
1/8/2018,서울,bio,6.865
1/8/2018,서울,waste,18.45
1/7/2018,서울,fuelcell,42
1/7/2018,서울,IGCC,0
1/7/2018,서울,solar,29.027751
1/7/2018,서울,wind,0
1/7/2018,서울,water,0.416
1/7/2018,서울,ocean,0
1/7/2018,서울,bio,6.865
1/7/2018,서울,waste,18.45
1/6/2018,서울,fuelcell,42
1/6/2018,서울,IGCC,0
1/6/2018,서울,solar,29.027751
1/6/2018,서울,wind,0
1/6/2018,서울,water,0.416
1/6/2018,서울,ocean,0
1/6/2018,서울,bio,6.865
1/6/2018,서울,waste,18.45
1/5/2018,서울,fuelcell,42
1/5/2018,서울,IGCC,0
1/5/2018,서울,solar,29.027751
1/5/2018,서울,wind,0
1/5/2018,서울,water,0.416
1/5/2018,서울,ocean,0
1/5/2018,서울,bio,6.865
1/5/2018,서울,waste,18.45
1/4/2018,서울,fuelcell,42
1/4/2018,서울,IGCC,0
1/4/2018,서울,solar,30.107756
1/4/2018,서울,wind,0
1/4/2018,서울,water,0.416
1/4/2018,서울,ocean,0
1/4/2018,서울,bio,6.865
1/4/2018,서울,waste,18.45
1/3/2018,서울,fuelcell,42
1/3/2018,서울,IGCC,0
1/3/2018,서울,solar,30.107756
1/3/2018,서울,wind,0
1/3/2018,서울,water,0.416
1/3/2018,서울,ocean,0
1/3/2018,서울,bio,6.865
1/3/2018,서울,waste,18.45
1/2/2018,서울,fuelcell,42
1/2/2018,서울,IGCC,0
1/2/2018,서울,solar,30.107756
1/2/2018,서울,wind,0
1/2/2018,서울,water,0.416
1/2/2018,서울,ocean,0
1/2/2018,서울,bio,6.865
1/2/2018,서울,waste,18.45
1/1/2018,서울,fuelcell,42
1/1/2018,서울,IGCC,0
1/1/2018,서울,solar,30.107756
1/1/2018,서울,wind,0
1/1/2018,서울,water,0.416
1/1/2018,서울,ocean,0
1/1/2018,서울,bio,6.865
1/1/2018,서울,waste,18.45
1/12/2017,서울,fuelcell,42
1/12/2017,서울,IGCC,0
1/12/2017,서울,solar,29.752756
1/12/2017,서울,wind,0
1/12/2017,서울,water,0.416
1/12/2017,서울,ocean,0
1/12/2017,서울,bio,6.865
1/12/2017,서울,waste,18.45
1/12/2016,서울,fuelcell,42
1/12/2016,서울,IGCC,0
1/12/2016,서울,solar,25.850096
1/12/2016,서울,wind,0
1/12/2016,서울,water,0.4
1/12/2016,서울,ocean,0
1/12/2016,서울,bio,6.865
1/12/2016,서울,waste,18.45
1/12/2015,서울,fuelcell,24.4
1/12/2015,서울,IGCC,0
1/12/2015,서울,solar,23.844437
1/12/2015,서울,wind,0
1/12/2015,서울,water,0.3
1/12/2015,서울,ocean,0
1/12/2015,서울,bio,5.8
1/12/2015,서울,waste,23.45
1/12/2014,서울,fuelcell,24.4
1/12/2014,서울,IGCC,0
1/12/2014,서울,solar,22.305088
1/12/2014,서울,wind,0
1/12/2014,서울,water,0.3
1/12/2014,서울,ocean,0
1/12/2014,서울,bio,0
1/12/2014,서울,waste,18.45
1/12/2013,서울,fuelcell,4.8
1/12/2013,서울,IGCC,0
1/12/2013,서울,solar,12.624878
1/12/2013,서울,wind,0
1/12/2013,서울,water,0
1/12/2013,서울,ocean,0
1/12/2013,서울,bio,0
1/12/2013,서울,waste,18.45
1/12/2012,서울,fuelcell,4.8
1/12/2012,서울,IGCC,0
1/12/2012,서울,solar,5.631328
1/12/2012,서울,wind,0
1/12/2012,서울,water,0
1/12/2012,서울,ocean,0
1/12/2012,서울,bio,0
1/12/2012,서울,waste,13.3
1/9/2025,부산,fuelcell,40.48
1/9/2025,부산,IGCC,0
1/9/2025,부산,solar,311.290965
1/9/2025,부산,wind,0.762
1/9/2025,부산,water,0.02
1/9/2025,부산,ocean,0
1/9/2025,부산,bio,4.574
1/9/2025,부산,waste,0
1/8/2025,부산,fuelcell,40.48
1/8/2025,부산,IGCC,0
1/8/2025,부산,solar,307.436425
1/8/2025,부산,wind,0.762
1/8/2025,부산,water,0.02
1/8/2025,부산,ocean,0
1/8/2025,부산,bio,4.574
1/8/2025,부산,waste,0
1/7/2025,부산,fuelcell,40.48
1/7/2025,부산,IGCC,0
1/7/2025,부산,solar,297.9978
1/7/2025,부산,wind,0.762
1/7/2025,부산,water,0.02
1/7/2025,부산,ocean,0
1/7/2025,부산,bio,4.574
1/7/2025,부산,waste,0
1/6/2025,부산,fuelcell,40.48
1/6/2025,부산,IGCC,0
1/6/2025,부산,solar,284.961665
1/6/2025,부산,wind,0.762
1/6/2025,부산,water,0.02
1/6/2025,부산,ocean,0
1/6/2025,부산,bio,4.574
1/6/2025,부산,waste,0
1/5/2025,부산,fuelcell,40.48
1/5/2025,부산,IGCC,0
1/5/2025,부산,solar,279.2207
1/5/2025,부산,wind,0.762
1/5/2025,부산,water,0.02
1/5/2025,부산,ocean,0
1/5/2025,부산,bio,4.574
1/5/2025,부산,waste,0
1/4/2025,부산,fuelcell,40.48
1/4/2025,부산,IGCC,0
