snapshot,carrier,region,components,components_t,attribute,value,status,aggregation
1/3/2023,oil,KR,generators,generators_t,fuel_cost,318.381,FALSE,national
1/3/2023,LNG,KR,generators,generators_t,fuel_cost,227.617,FALSE,national
1/2/2023,nuclear,KR,generators,generators_t,fuel_cost,6.36,FALSE,national
1/2/2023,bituminous,KR,generators,generators_t,fuel_cost,120.412,FALSE,national
1/2/2023,anthracite,KR,generators,generators_t,fuel_cost,105.981,FALSE,national
1/2/2023,oil,KR,generators,generators_t,fuel_cost,331.06,FALSE,national
1/2/2023,LNG,KR,generators,generators_t,fuel_cost,266.344,FALSE,national
1/1/2023,nuclear,KR,generators,generators_t,fuel_cost,6.36,FALSE,national
1/1/2023,bituminous,KR,generators,generators_t,fuel_cost,126.43,FALSE,national
1/1/2023,anthracite,KR,generators,generators_t,fuel_cost,119.319,FALSE,national
1/1/2023,oil,KR,generators,generators_t,fuel_cost,379.015,FALSE,national
1/1/2023,LNG,KR,generators,generators_t,fuel_cost,258.667,FALSE,national
1/12/2022,nuclear,KR,generators,generators_t,fuel_cost,6.368,FALSE,national
1/12/2022,bituminous,KR,generators,generators_t,fuel_cost,137.572,FALSE,national
1/12/2022,anthracite,KR,generators,generators_t,fuel_cost,112.194,FALSE,national
1/12/2022,oil,KR,generators,generators_t,fuel_cost,381.051,FALSE,national
1/12/2022,LNG,KR,generators,generators_t,fuel_cost,266.79,FALSE,national
1/11/2022,nuclear,KR,generators,generators_t,fuel_cost,6.37,FALSE,national
1/11/2022,bituminous,KR,generators,generators_t,fuel_cost,125.277,FALSE,national
1/11/2022,anthracite,KR,generators,generators_t,fuel_cost,110.359,FALSE,national
1/11/2022,oil,KR,generators,generators_t,fuel_cost,373.958,FALSE,national
1/11/2022,LNG,KR,generators,generators_t,fuel_cost,270.375,FALSE,national
1/10/2022,nuclear,KR,generators,generators_t,fuel_cost,6.367,FALSE,national
1/10/2022,bituminous,KR,generators,generators_t,fuel_cost,127.965,FALSE,national
1/10/2022,anthracite,KR,generators,generators_t,fuel_cost,120.554,FALSE,national
1/10/2022,oil,KR,generators,generators_t,fuel_cost,390.623,FALSE,national
1/10/2022,LNG,KR,generators,generators_t,fuel_cost,267.254,FALSE,national
1/9/2022,nuclear,KR,generators,generators_t,fuel_cost,6.35,FALSE,national
1/9/2022,bituminous,KR,generators,generators_t,fuel_cost,129.39,FALSE,national
1/9/2022,anthracite,KR,generators,generators_t,fuel_cost,123.86,FALSE,national
1/9/2022,oil,KR,generators,generators_t,fuel_cost,390.49,FALSE,national
1/9/2022,LNG,KR,generators,generators_t,fuel_cost,249.247,FALSE,national
1/8/2022,nuclear,KR,generators,generators_t,fuel_cost,6.348,FALSE,national
1/8/2022,bituminous,KR,generators,generators_t,fuel_cost,130.541,FALSE,national
