snapshot,carrier,marginalcost_t
1/11/2022,nuclear,48914.59949
1/11/2022,bituminous,176584.9266
1/11/2022,anthracite,253884.0576
1/11/2022,oil,337354.5859
1/11/2022,LNG,294204.4134
1/11/2022,PSH,317037.6452
1/11/2022,fuelcell,238805.223
1/11/2022,IGCC,0
1/11/2022,solar,250084.4148
1/11/2022,wind,237729.8556
1/11/2022,hydro,266493.0195
1/11/2022,ocean,234244.4122
1/11/2022,bio,279403.3198
1/11/2022,waste,
1/11/2022,miscellaneous,246845.0644
1/10/2022,nuclear,48380.90148
1/10/2022,bituminous,179068.7915
1/10/2022,anthracite,260958.5688
1/10/2022,oil,331627.0757
1/10/2022,LNG,302784.8443
1/10/2022,PSH,315426.7285
1/10/2022,fuelcell,248652.4205
1/10/2022,IGCC,247973.5097
1/10/2022,solar,266359.538
1/10/2022,wind,247800.2876
1/10/2022,hydro,270811.9342
1/10/2022,ocean,243775.297
1/10/2022,bio,282762.9532
1/10/2022,waste,
1/10/2022,miscellaneous,259872.0114
1/9/2022,nuclear,48322.74086
1/9/2022,bituminous,183346.1554
1/9/2022,anthracite,257535.6191
1/9/2022,oil,458035.8304
1/9/2022,LNG,293324.3161
1/9/2022,PSH,323416.7175
1/9/2022,fuelcell,228907.9924
1/9/2022,IGCC,289288.1137
1/9/2022,solar,244019.9903
1/9/2022,wind,232032.4748
1/9/2022,hydro,240413.1384
1/9/2022,ocean,221586.837
1/9/2022,bio,281371.9841
1/9/2022,waste,
1/9/2022,miscellaneous,238097.9721
1/8/2022,nuclear,60901.09806
1/8/2022,bituminous,189688.6932
1/8/2022,anthracite,214272.7383
1/8/2022,oil,645884.1025
1/8/2022,LNG,274269.609
1/8/2022,PSH,376912.8343
1/8/2022,fuelcell,192062.9078
1/8/2022,IGCC,208669.201
1/8/2022,solar,212106.5517
1/8/2022,wind,207357.4277
1/8/2022,hydro,218375.3285
1/8/2022,ocean,186868.9821
1/8/2022,bio,251996.5759
1/8/2022,waste,
1/8/2022,miscellaneous,214962.2497
1/7/2022,nuclear,51961.07095
1/7/2022,bituminous,150772.1945
1/7/2022,anthracite,165197.2165
1/7/2022,oil,475885.9361
1/7/2022,LNG,198072.2268
1/7/2022,PSH,293302.5341
1/7/2022,fuelcell,144999.1942
1/7/2022,IGCC,160653.5272
1/7/2022,solar,156239.5964
1/7/2022,wind,168775.6889
1/7/2022,hydro,174249.4558
1/7/2022,ocean,145319.4779
1/7/2022,bio,202124.4317
1/7/2022,waste,
1/7/2022,miscellaneous,157349.6457
1/6/2022,nuclear,38453.03696
1/6/2022,bituminous,126629.5746
1/6/2022,anthracite,133370.0226
1/6/2022,oil,400867.6897
1/6/2022,LNG,155652.8804
1/6/2022,PSH,168900.0053
1/6/2022,fuelcell,127702.1781
1/6/2022,IGCC,130008.7857
1/6/2022,solar,131685.8438
1/6/2022,wind,139096.8938
1/6/2022,hydro,139868.2733
1/6/2022,ocean,125545.6674
1/6/2022,bio,175897.7555
1/6/2022,waste,
1/6/2022,miscellaneous,138367.4696
1/5/2022,nuclear,39373.545
1/5/2022,bituminous,128834.2372
1/5/2022,anthracite,141144.3383
1/5/2022,oil,354854.4676
1/5/2022,LNG,161941.1271
1/5/2022,PSH,167596.7902
1/5/2022,fuelcell,138376.259
1/5/2022,IGCC,138991.5091
1/5/2022,solar,139287.2717
1/5/2022,wind,151085.5232
1/5/2022,hydro,145486.419
1/5/2022,ocean,138038.2226
1/5/2022,bio,183723.2655
1/5/2022,waste,
1/5/2022,miscellaneous,150966.6259
1/4/2022,nuclear,53335.56265
1/4/2022,bituminous,162112.2009
1/4/2022,anthracite,210761.1288
1/4/2022,oil,308063.8848
1/4/2022,LNG,229610.0071
1/4/2022,PSH,238359.7373
1/4/2022,fuelcell,200549.4176
1/4/2022,IGCC,201038.8581
1/4/2022,solar,197431.906
1/4/2022,wind,206155.2343
1/4/2022,hydro,209080.7963
1/4/2022,ocean,202566.3721
1/4/2022,bio,232576.8493
1/4/2022,waste,
1/4/2022,miscellaneous,206942.2941
1/3/2022,nuclear,59280.93311
1/3/2022,bituminous,144827.4857
1/3/2022,anthracite,0
1/3/2022,oil,285589.6829
1/3/2022,LNG,218428.1438
1/3/2022,PSH,226684.7562
1/3/2022,fuelcell,191826.9001
1/3/2022,IGCC,191782.9162
1/3/2022,solar,193790.2653
1/3/2022,wind,197487.6708
1/3/2022,hydro,201017.3844
1/3/2022,ocean,194088.1218
1/3/2022,bio,177370.9594
1/3/2022,waste,
1/3/2022,miscellaneous,192117.5125
1/2/2022,nuclear,67893.25523
1/2/2022,bituminous,145446.9685
1/2/2022,anthracite,0
1/2/2022,oil,277743.0286
1/2/2022,LNG,247087.4365
1/2/2022,PSH,287657.9804
1/2/2022,fuelcell,193421.3819
1/2/2022,IGCC,194892.915
1/2/2022,solar,195077.9799
1/2/2022,wind,196542.2268
1/2/2022,hydro,220700.8202
1/2/2022,ocean,193362.146
1/2/2022,bio,226901.9793
1/2/2022,waste,
1/2/2022,miscellaneous,201462.8757
1/1/2022,nuclear,61510.77446
