snapshot,name,carrier,region,components,attribute,value,status,aggregation
1/10/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/9/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.1,TRUE,province
1/9/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/9/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.12968,TRUE,province
1/9/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/9/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/9/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/9/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/9/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/8/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.1,TRUE,province
1/8/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/8/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.18236,TRUE,province
1/8/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/8/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/8/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/8/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/8/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/7/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.1,TRUE,province
1/7/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/7/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.049455,TRUE,province
1/7/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/7/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/7/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/7/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/7/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/6/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,85.8,TRUE,province
1/6/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/6/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.778455,TRUE,province
1/6/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/6/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/6/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
