name,bus0,bus1,length,circuits,voltage,r,x,b,s_nom,num_parallel,v_nom
353,119,119,0.076689602,1,345000,0.00383448,0.019172401,0,,1,345000
354,43,43,0.116135942,1,154000,0.005806797,0.029033985,0,,1,154000
355,134,134,0.201485949,1,345000,0.010074297,0.050371487,0,,1,345000
356,134,134,0.108351274,1,345000,0.005417564,0.027087819,0,,1,345000
357,119,119,0.099560329,1,345000,0.004978016,0.024890082,0,,1,345000
358,43,43,2.762295821,1,154000,0.138114791,0.690573955,0,,1,154000
359,134,77,128.1294663,1,345000,6.406473317,32.03236658,0,,1,345000
360,130,134,29.31716832,1,345000,1.465858416,7.329292081,0,,1,345000
361,134,134,0.20661899,1,345000,0.010330949,0.051654747,0,,1,345000
362,135,135,3.994658952,1,154000,0.199732948,0.998664738,0,,1,154000
363,136,136,2.692267224,1,154000,0.134613361,0.673066806,0,,1,154000
364,134,134,0.244080969,1,345000,0.012204048,0.061020242,0,,1,345000
365,136,136,0.062043226,1,154000,0.003102161,0.015510807,0,,1,154000
366,136,136,0.067302006,1,154000,0.0033651,0.016825501,0,,1,154000
367,136,136,8.986383107,1,154000,0.449319155,2.246595777,0,,1,154000
368,134,134,0.113720176,1,345000,0.005686009,0.028430044,0,,1,345000
369,134,134,0.125752496,1,345000,0.006287625,0.031438124,0,,1,345000
370,134,134,0.116653419,1,345000,0.005832671,0.029163355,0,,1,345000
371,136,136,5.120270723,1,154000,0.256013536,1.280067681,0,,1,154000
372,53,53,0.128719572,1,345000,0.006435979,0.032179893,0,,1,345000
